,TC,IMPORTE,TOTAL MX,TOTAL SAT
1474,1.0,10332.78,11366.05,11366.05
1475,1.0,6517.2,7559.96,7559.96
1476,1.0,237.45,275.44,275.44
1477,1.0,188.05,218.14,218.14
1478,1.0,0.0,0.0,0.0
1479,1.0,20540.0,23826.4,23826.4
1480,1.0,6120.0,7099.2,7099.2
1481,1.0,439.65,509.99,509.99
1482,1.0,1896.55,2200.0,2200.0
1483,1.0,140.0,140.0,140.0
1484,1.0,391.0,453.56,453.56
1485,1.0,0.0,0.0,0.0
1486,1.0,0.0,0.0,0.0
1487,1.0,195.68,227.0,227.0
1488,1.0,0.0,0.0,0.0
1489,1.0,2280.0,2644.8,2644.8
1490,1.0,0.0,0.0,0.0
1491,1.0,3787.2,4393.15,4393.15
1492,1.0,220.05,255.26,255.26
1493,1.0,429.0,497.64,497.64
1494,1.0,0.0,0.0,0.0
1495,1.0,2300.0,2348.0,2348.0
1496,1.0,1100.0,1276.0,1276.0
1497,1.0,16170.0,18757.2,18757.2
1498,1.0,2850.0,3306.0,3306.0
1499,1.0,278.94,323.57,323.57
1500,1.0,12600.0,14616.0,14616.0
1501,1.0,336.9,398.99,398.99
1502,1.0,2376.0,2756.16,2756.16
1503,1.0,126.56,146.81,146.81
1504,1.0,180.0,208.8,208.8
1505,1.0,520.0,603.2,603.2
1506,1.0,267.25,310.01,310.01
1507,1.0,267.25,310.01,310.01
1508,1.0,230.16,267.0,267.0
1509,1.0,0.0,0.0,0.0
1510,1.0,4935.0,5724.6,5724.6
1511,1.0,3395.0,3938.2,3938.2
1512,1.0,72.67,84.3,84.3
